Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
Weapon	3rd	ActorAttackInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, actors\Character\Animations\Weapon\Machinegun\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsGripPistol, AnimsRecieverHandmadeRevolver	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Pistol\Injured\OnGround, Actors\Character\Animations\Weapon\HandmadeRevolver\Synth, Actors\Character\Animations\Weapon\HandmadeRevolver, Actors\Character\Animations\Weapon\Pistol\Synth, Actors\Character\Animations\Weapon\Pistol, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimSynth	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun\Synth, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsGripRifleAssault	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Machinegun\Player, actors\Character\Animations\Weapon\Machinegun, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
