Role	Perspective	Actor Keyword(s)	Target Keyword(s)	Behavior Path	Animation Path(s)
Weapon	3rd	ActorAttackInjuredLeft	AnimsLMG	Actors\Character\Behaviors\LeftArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Injured\OnGround, Actors\Character\Animations\Weapon\Rifle\Injured\OnGround, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, actors\Character\Animations\Weapon\LMG\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, ActorMobilityInjuredRight, AnimSynth	AnimsGripPistol, AnimsRecieverHandmadeRevolver	Actors\Character\Behaviors\RightArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\Pistol\Injured\OnGround, Actors\Character\Animations\Weapon\HandmadeRevolver\Synth, Actors\Character\Animations\Weapon\HandmadeRevolver, Actors\Character\Animations\Weapon\Pistol\Synth, Actors\Character\Animations\Weapon\Pistol, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredLeft, AnimSynth	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG\Synth, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Left, Actors\Character\Animations\Paired, Actors\Character\Animations\Synth, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations
Weapon	3rd	ActorAttackInjuredLeft, ActorAttackInjuredRight, ActorMobilityInjuredRight, AnimArchetypePlayer	AnimsLMG	Actors\Character\Behaviors\BothArmInjuredWeaponWrappingBehavior.hkx	Actors\Character\Animations\Weapon\LMG\Player, actors\Character\Animations\Weapon\LMG, Actors\Character\Animations\Weapon\Rifle\Injured\Right, Actors\Character\Animations\Paired, Actors\Character\Animations\Player, Actors\Character\Animations
